Newton-Raphson;Iterazioni;Secanti;Bisezione(Estremo superiore)
3;0;3;3
2.254660257;1.00E+00;0.217324695;1.5
0.955160743;2.00E+00;0.198583924;0.75
0.160135128;3.00E+00;0.190254823;0.375
0.18961975;4.00E+00;0.190409502;0.375
0.190408105;5.00E+00;0.190408574;0.28125
0.190408574;6.00E+00;0.190408574;0.234375
0.190408574;7.00E+00;0.190408574;0.2109375
0.190408574;8.00E+00;0.190408574;0.19921875
0.190408574;9.00E+00;0.190408574;0.193359375
0.190408574;1.00E+01;0.190408574;0.190429688
0.190408574;1.10E+01;0.190408574;0.190429688
0.190408574;1.20E+01;0.190408574;0.190429688
0.190408574;1.30E+01;0.190408574;0.190429688
0.190408574;1.40E+01;0.190408574;0.190429688
0.190408574;1.50E+01;0.190408574;0.190429688
0.190408574;1.60E+01;0.190408574;0.190429688
0.190408574;1.70E+01;0.190408574;0.190429688
0.190408574;1.80E+01;0.190408574;0.190418243
0.190408574;1.90E+01;0.190408574;0.190412521
0.190408574;20;0.190408574;0.19040966
